t	y
1.00	3.000000
1.00	3.024988
1.01	3.049950
1.01	3.074888
1.02	3.099801
1.02	3.124690
1.03	3.149554
1.03	3.174395
1.04	3.199211
1.04	3.224003
1.05	3.248771
1.05	3.273515
1.06	3.298235
1.06	3.322933
1.07	3.347606
1.07	3.372257
1.08	3.396884
1.08	3.421488
1.09	3.446069
1.09	3.470627
1.10	3.495163
1.10	3.519675
1.11	3.544166
1.11	3.568634
1.12	3.593080
1.12	3.617503
1.13	3.641905
1.13	3.666284
1.14	3.690642
1.14	3.714978
1.15	3.739292
1.15	3.763585
1.16	3.787856
1.16	3.812106
1.17	3.836335
1.17	3.860543
1.18	3.884730
1.18	3.908896
1.19	3.933041
1.19	3.957165
1.20	3.981269
1.20	4.005353
1.21	4.029416
1.21	4.053459
1.22	4.077481
1.22	4.101484
1.23	4.125466
1.23	4.149429
1.24	4.173372
1.24	4.197295
1.25	4.221199
1.25	4.245084
1.26	4.268948
1.26	4.292794
1.27	4.316621
1.27	4.340428
1.28	4.364216
1.28	4.387986
1.29	4.411736
1.29	4.435468
1.30	4.459182
1.30	4.482877
1.31	4.506553
1.31	4.530211
1.32	4.553851
1.32	4.577473
1.33	4.601076
1.33	4.624662
1.34	4.648230
1.34	4.671780
1.35	4.695312
1.35	4.718827
1.36	4.742324
1.36	4.765803
1.37	4.789266
1.37	4.812711
1.38	4.836139
1.38	4.859549
1.39	4.882943
1.39	4.906320
1.40	4.929680
1.40	4.953023
1.41	4.976350
1.41	4.999660
1.42	5.022953
1.42	5.046230
1.43	5.069491
1.43	5.092735
1.44	5.115964
1.44	5.139176
1.45	5.162372
1.45	5.185552
1.46	5.208716
1.46	5.231865
1.47	5.254998
1.47	5.278115
1.48	5.301217
1.48	5.324303
1.49	5.347374
1.49	5.370429
1.50	5.393469
1.50	5.416494
1.51	5.439504
1.51	5.462499
1.52	5.485479
1.52	5.508445
1.53	5.531395
1.53	5.554331
1.54	5.577252
1.54	5.600158
1.55	5.623050
1.55	5.645928
1.56	5.668791
1.56	5.691640
1.57	5.714475
1.57	5.737295
1.58	5.760102
1.58	5.782894
1.59	5.805673
1.59	5.828437
1.60	5.851188
1.60	5.873926
1.61	5.896649
1.61	5.919359
1.62	5.942056
1.62	5.964739
1.63	5.987408
1.63	6.010065
1.64	6.032708
1.64	6.055337
1.65	6.077954
1.65	6.100558
1.66	6.123149
1.66	6.145726
1.67	6.168291
1.67	6.190844
1.68	6.213383
1.68	6.235910
1.69	6.258424
1.69	6.280926
1.70	6.303415
1.70	6.325891
1.71	6.348356
1.71	6.370808
1.72	6.393248
1.72	6.415675
1.73	6.438091
1.73	6.460495
1.74	6.482886
1.74	6.505266
1.75	6.527633
1.75	6.549989
1.76	6.572334
1.76	6.594666
1.77	6.616987
1.77	6.639296
1.78	6.661594
1.78	6.683880
1.79	6.706155
1.79	6.728419
1.80	6.750671
1.80	6.772912
1.81	6.795142
1.81	6.817361
1.82	6.839568
1.82	6.861765
1.83	6.883951
1.83	6.906126
1.84	6.928289
1.84	6.950443
1.85	6.972585
1.85	6.994717
1.86	7.016838
1.86	7.038948
1.87	7.061048
1.87	7.083138
1.88	7.105217
1.88	7.127286
1.89	7.149344
1.89	7.171392
1.90	7.193430
1.90	7.215458
1.91	7.237476
1.91	7.259483
1.92	7.281481
1.92	7.303469
1.93	7.325446
1.93	7.347414
1.94	7.369372
1.94	7.391320
1.95	7.413259
1.95	7.435188
1.96	7.457107
1.96	7.479017
1.97	7.500917
1.97	7.522808
1.98	7.544689
1.98	7.566561
1.99	7.588423
1.99	7.610277
2.00	7.632121
2.00	7.653955
2.01	7.675781
2.01	7.697598
2.02	7.719405
2.02	7.741204
2.03	7.762993
2.03	7.784774
2.04	7.806545
2.04	7.828308
2.05	7.850062
2.05	7.871808
2.06	7.893544
2.06	7.915272
2.07	7.936991
2.07	7.958702
2.08	7.980404
2.08	8.002098
2.09	8.023784
2.09	8.045460
2.10	8.067129
2.10	8.088789
2.11	8.110441
2.11	8.132085
2.12	8.153720
2.12	8.175348
2.13	8.196967
2.13	8.218578
2.14	8.240181
2.14	8.261776
2.15	8.283363
2.15	8.304942
2.16	8.326514
2.16	8.348077
2.17	8.369633
2.17	8.391181
2.18	8.412721
2.18	8.434254
2.19	8.455779
2.19	8.477296
2.20	8.498806
2.20	8.520308
2.21	8.541803
2.21	8.563290
2.22	8.584770
2.22	8.606242
2.23	8.627707
2.23	8.649165
2.24	8.670616
2.24	8.692059
2.25	8.713495
2.25	8.734924
2.26	8.756346
2.26	8.777761
2.27	8.799168
2.27	8.820569
2.28	8.841963
2.28	8.863349
2.29	8.884729
2.29	8.906102
2.30	8.927468
2.30	8.948827
2.31	8.970180
2.31	8.991526
2.32	9.012865
2.32	9.034197
2.33	9.055523
2.33	9.076842
2.34	9.098154
2.34	9.119460
2.35	9.140760
2.35	9.162053
2.36	9.183339
2.36	9.204619
2.37	9.225893
2.37	9.247160
2.38	9.268421
2.38	9.289676
2.39	9.310925
2.39	9.332167
2.40	9.353403
2.40	9.374633
2.41	9.395857
2.41	9.417074
2.42	9.438286
2.42	9.459492
2.43	9.480691
2.43	9.501885
2.44	9.523072
2.44	9.544254
2.45	9.565430
2.45	9.586600
2.46	9.607764
2.46	9.628922
2.47	9.650075
2.47	9.671221
2.48	9.692362
2.48	9.713498
2.49	9.734627
2.49	9.755751
2.50	9.776870
2.50	9.797983
2.51	9.819090
2.51	9.840192
2.52	9.861288
2.52	9.882379
2.53	9.903464
2.53	9.924544
2.54	9.945619
2.54	9.966688
2.55	9.987752
2.55	10.008811
2.56	10.029864
2.56	10.050912
2.57	10.071955
2.57	10.092992
2.58	10.114025
2.58	10.135052
2.59	10.156074
2.59	10.177091
2.60	10.198103
2.60	10.219110
2.61	10.240112
2.61	10.261109
2.62	10.282101
2.62	10.303088
2.63	10.324070
2.63	10.345048
2.64	10.366020
2.64	10.386987
2.65	10.407950
2.65	10.428908
2.66	10.449861
2.66	10.470809
2.67	10.491753
2.67	10.512692
2.68	10.533626
2.68	10.554556
2.69	10.575480
2.69	10.596401
2.70	10.617316
2.70	10.638228
2.71	10.659134
2.71	10.680036
2.72	10.700934
2.72	10.721827
2.73	10.742716
2.73	10.763600
2.74	10.784480
2.74	10.805355
2.75	10.826226
2.75	10.847093
2.76	10.867955
2.76	10.888813
2.77	10.909667
2.77	10.930517
2.78	10.951362
2.78	10.972203
2.79	10.993040
2.79	11.013873
2.80	11.034701
2.80	11.055526
2.81	11.076346
2.81	11.097162
2.82	11.117974
2.82	11.138782
2.83	11.159586
2.83	11.180386
2.84	11.201183
2.84	11.221975
2.85	11.242763
2.85	11.263547
2.86	11.284327
2.86	11.305104
2.87	11.325876
2.87	11.346645
2.88	11.367410
2.88	11.388171
2.89	11.408928
2.89	11.429682
2.90	11.450431
2.90	11.471177
2.91	11.491920
2.91	11.512658
2.92	11.533393
2.92	11.554124
2.93	11.574852
2.93	11.595576
2.94	11.616296
2.94	11.637013
2.95	11.657726
2.95	11.678436
2.96	11.699142
2.96	11.719844
2.97	11.740543
2.97	11.761239
2.98	11.781931
2.98	11.802619
2.99	11.823305
2.99	11.843986
3.00	11.864665
